"Original Lines" OPINIONLEXICON SENTISTRENGTH SOCAL HAPPINESSINDEX SANN EMOTICONSDS SENTIMENT140 STANFORD AFINN MPQA NRCHASHTAG EMOLEX EMOTICONS PANAST SASA SENTIWORDNET VADER UMIGON
"brasil testará medicamento evitar problema cardíaco hiv https t co pb2hsmpjze https t co lu563k3f8m " Negative Negative Negative Positive Neutral Positive Negative Negative Negative Neutral Negative Negative Neutral Neutral Positive Negative Negative Negative
"medicamento reduzir cardiopatias pacientes hiv testada manaus https t co qxm9levuja " Neutral Negative Negative Positive Neutral Positive Negative Neutral Neutral Neutral Negative Neutral Neutral Neutral Positive Positive Neutral Neutral
"netcina jovem é diagnosticada hiv após dividir equipamento manicure compartilhados https t co 4ektznq30j " Negative Neutral Positive Positive Neutral Positive Negative Negative Positive Neutral Negative Neutral Neutral Neutral Neutral Positive Neutral Neutral
"cuba é primeiro país mundo erradicar transmissão sífilis hiv https t co i4hzzwy7gd https t co bptqd3isoh " Neutral Negative Negative Negative Neutral Positive Negative Neutral Neutral Neutral Positive Negative Neutral Neutral Positive Positive Neutral Neutral
"rt @beloved_950 palavra dia dinheiro é hiv perguntas ninguém feeling worried " Negative Negative Neutral Positive Neutral Positive Negative Negative Negative Negative Negative Positive Neutral Neutral Neutral Positive Neutral Negative
"rt @saudespimprensa hiv cara use sempre camisinha via @governosp https t co h43fdopi3d " Neutral Neutral Neutral Neutral Neutral Positive Positive Negative Neutral Neutral Negative Neutral Neutral Neutral Neutral Positive Neutral Neutral
"palavra dia dinheiro é hiv perguntas ninguém feeling worried " Negative Negative Neutral Positive Neutral Positive Negative Negative Negative Negative Negative Positive Neutral Neutral Neutral Positive Neutral Negative
"rt @lutzzphx @johnsonmagico teste hiv " Neutral Neutral Neutral Neutral Neutral Positive Neutral Neutral Neutral Neutral Negative Neutral Neutral Neutral Neutral Positive Neutral Neutral
"gostei vídeo @youtube https t co jbhwuysy0k #37 hiv une papai noel existe " Positive Positive Neutral Neutral Neutral Positive Negative Negative Positive Neutral Negative Neutral Neutral Neutral Positive Positive Neutral Positive
"vivendo pior epidemia aids desde 1981 segundo ministério saúde https t co ye7xsst2mw " Negative Negative Positive Positive Negative Positive Negative Negative Negative Negative Negative Neutral Neutral Neutral Neutral Positive Negative Negative
"@stephenkirng arrecadam grana pra instituições campanhas contra aids etc " Neutral Negative Neutral Positive Neutral Positive Positive Negative Neutral Neutral Negative Positive Neutral Neutral Neutral Neutral Neutral Neutral
"@_mandsavoy cu aids " Neutral Neutral Neutral Neutral Negative Positive Neutral Neutral Negative Neutral Negative Negative Neutral Neutral Negative Neutral Negative Negative
"duas boneca aids cancer pequena " Negative Negative Negative Negative Neutral Positive Neutral Neutral Negative Neutral Negative Negative Neutral Neutral Negative Negative Negative Negative
"@shaadowarts nascerá aids " Neutral Neutral Neutral Neutral Neutral Positive Neutral Positive Neutral Neutral Negative Neutral Neutral Neutral Neutral Positive Neutral Neutral
"@neto aids sria gonorréia lá tia olga atras mackenzie rsrsrsrs " Neutral Neutral Neutral Neutral Neutral Positive Negative Negative Neutral Neutral Negative Neutral Neutral Neutral Neutral Negative Neutral Neutral
"daqui pouco malhação termina nanda fantasma lucas pegando aids sula toninho martinha grávida d fernão td puf #malhacao " Neutral Neutral Negative Neutral Neutral Positive Negative Negative Negative Negative Positive Neutral Neutral Neutral Neutral Negative Neutral Neutral
"negócio pegar ficar existia adolescente única coisa existia aids https t co t3ajwfatfr " Neutral Neutral Neutral Neutral Neutral Positive Negative Negative Neutral Neutral Negative Positive Neutral Neutral Positive Positive Neutral Neutral
"vivendo pior epidemia aids desde 1981 segundo ministério saúde https t co tvgqxk0n24 " Negative Negative Positive Positive Negative Positive Negative Negative Negative Negative Negative Neutral Neutral Neutral Neutral Positive Negative Negative
"gala amfar the foundation aids research paulo decorreu passado dia 27 abril contou https t co qtwgbwgibb " Neutral Neutral Neutral Neutral Neutral Positive Neutral Negative Neutral Neutral Negative Positive Neutral Neutral Positive Negative Neutral Neutral
"aids culpa doido pra dar uns bjs nessa aids culpa porra é ata é https t co yo91dlqzrg " Negative Negative Negative Neutral Negative Positive Negative Negative Negative Negative Negative Negative Neutral Neutral Negative Negative Negative Negative
"@offspringui voce tambem desejou aids aleatoriamente fdp aheieiheie " Negative Neutral Neutral Neutral Neutral Positive Positive Negative Neutral Positive Negative Neutral Neutral Neutral Neutral Positive Neutral Neutral
"vivendo pior epidemia aids desde 1981 segundo ministério saúde https t co 9fkdkxui4g " Negative Negative Positive Positive Negative Positive Negative Negative Negative Negative Negative Neutral Neutral Neutral Neutral Positive Negative Negative
"aí vc vai festa galera pergunta vc aids " Neutral Neutral Neutral Positive Neutral Positive Positive Neutral Neutral Neutral Negative Positive Neutral Neutral Neutral Positive Neutral Neutral
"@mariajoana00 @joomanuelamaro @djcr8oito têm discussões tão aids " Neutral Neutral Neutral Neutral Neutral Positive Positive Negative Neutral Neutral Neutral Neutral Neutral Neutral Neutral Positive Neutral Neutral
"rt @juniorauditore industria neoliberal farmaceuticos cria doenças vender remedios boicotam cura aids " Positive Negative Negative Positive Negative Positive Positive Negative Negative Neutral Negative Negative Neutral Neutral Neutral Positive Neutral Neutral
"rt @juniorauditore industria neoliberal farmaceuticos cria doenças vender remedios boicotam cura aids " Positive Negative Negative Positive Negative Positive Positive Negative Negative Neutral Negative Negative Neutral Neutral Neutral Positive Neutral Neutral
"@lmjmendex @littlemoonsg sim gente pode engravidar dst rola solta porque época vário https t co k3l9xurboi " Negative Neutral Negative Positive Positive Positive Negative Negative Negative Neutral Negative Neutral Neutral Neutral Neutral Negative Neutral Negative
"@glstecanela @gagailusion ainda pensei nao usava caminha pra b pessoa virgem ainda vai pq vc https t co vscpfwnvo3 " Neutral Neutral Neutral Positive Neutral Positive Negative Negative Neutral Neutral Negative Positive Neutral Neutral Neutral Negative Neutral Negative
"corpinho aids kkkkkkkkkkkkk " Neutral Neutral Neutral Positive Neutral Positive Negative Neutral Neutral Neutral Neutral Neutral Neutral Neutral Negative Neutral Neutral Neutral
"aí cê tá aids kkkjjkkkkkkkkkkkklkjj @fraga_clara " Neutral Positive Neutral Neutral Neutral Positive Neutral Negative Neutral Neutral Positive Neutral Neutral Neutral Neutral Neutral Neutral Neutral
"@gui_ita escolheram teatro onde palco fica meio plateia junto orquestra fica lindo aids " Positive Positive Positive Positive Positive Positive Negative Positive Neutral Neutral Negative Positive Neutral Neutral Negative Positive Positive Negative
"vamos usar preservativo gente nunca deixe usar https t co cliw7fv7lo " Neutral Neutral Neutral Neutral Neutral Positive Negative Neutral Neutral Neutral Negative Neutral Neutral Neutral Neutral Negative Neutral Neutral
"@dimmineutrion cor quer band aids dessa vez " Neutral Neutral Neutral Positive Positive Positive Negative Neutral Positive Positive Negative Neutral Neutral Neutral Negative Positive Neutral Neutral
"@sandrinhovj kkkkkkkk aids " Neutral Neutral Neutral Neutral Neutral Positive Neutral Neutral Neutral Neutral Negative Neutral Neutral Neutral Neutral Neutral Neutral Neutral
"rt @kardashibrasil todo dinheiro arrecado é contribuir pesquisas cura aids ensaio fotográfico publicada " Positive Neutral Positive Positive Neutral Positive Negative Negative Neutral Neutral Negative Positive Neutral Neutral Neutral Positive Neutral Neutral
"desejo tudo positivo vida inclusive teste aids " Positive Positive Positive Positive Positive Positive Negative Positive Positive Positive Positive Positive Neutral Neutral Neutral Positive Positive Neutral
"vivendo pior epidemia aids desde 1981 segundo ministério saúde https t co 1cfrtunw4e " Negative Negative Positive Positive Negative Positive Negative Negative Negative Negative Negative Neutral Neutral Neutral Neutral Positive Negative Negative
